"Checkout", "Kassan"
"Description", "Beskrivning"
"Quantity", "Antal"
"Price", "Pris"
"Remove ", "Ta bort"
"Sign Up for Our Newsletter", "Prenumerera på nyhetsbrevet"
"Apply Discount", "Tillämpa rabatt"
"Activate code", "Aktivera kod"
"Enter discount code", "Har du en rabattkod, ange den här."
"Add the following products to your purchase", "Lägg till följande produkter"
"Add to cart", "Lägg i varukorg"
"Enter a comment for this order", "Anteckningar på din order, t.ex. speciella önskemål för leverans"
"Order Comment (Optionally)", "Kommentar på ordern (valfritt)"
"Show More", "Visa mer"
"Show Less", "Visa mindre"
"Save", "Spara"
"Choose Shipping Method", "Välj leveranssätt"
"Grand Total", "Totalsumma"
"Subtotal", "Delsumma"
"Tax", "Varav moms"
"Shipping & Handling (%1)", "Leverans (%1)"
"Flat Rate", "Fast pris"
"Fixed", "Fixerad"
"Thank you for your purchase! <br /> We have received your order.", "Tack för ditt köp! <br /> Vi har fått din beställning."
"Order number:", "Order nummer:"
"Date:", "Datum:"
"Total:", "Totalt:"
"Payment Method: ", "Betalning:"
"Order Details", "Orderdetaljer"
"Shipping:", "Frakt:"
"Continue Shopping", "Fortsätt handla"
"Product", "Produkt"
"Amount", "Summa"
"Price including VAT", "Pris inklusive moms"
"Country & Postcode", "Land & Postnummer"
"Postal code", "Postnummer"
"Do you have a discount code?", "Har du rabbatkod?"
"Complete your order", "Slutför din beställning"
"You have chosen to pay by invoice.", "Du har valt att betala med faktura."
"Delivery Choice", "Leveransval"
"Enter country:", "Ange land:"
"(to see delivery options)", "(för att se leveransalternativ)"
"Select shipping options", "Välj fraktalternativ"
"Choose country", "Välj land"
"Sweden", "Svenska"
"Denmark", "Danska"
"Finland", "Finland"
"Norway", "Norska"
"Your cart differs from the payment. Please try placing the order again. Avoid updating your cart in a different tab or window while completing the checkout.","Din varukorg stämmer inte överens med betalningen. Vänligen försök beställa igen. Undvik att ändra varukorgen i annan flik eller annat fönster medan du beställer."